timestamp,x,y,z
1077.178218,0.513,0.861,-0.197
1077.181666,0.703,0.985,-0.16
1077.185117,0.81,1.03,-0.11
1077.188551,0.91,1.08,-0.0773
1077.191913,1.02,1.09,-0.0468
1077.195345,1.16,1.06,-0.0461
1077.198779,1.37,0.974,-0.0445
1077.202229,1.5,0.841,0.0289
1077.205599,1.58,0.667,0.158
1077.20901,1.63,0.492,0.266
1077.212426,1.69,0.294,0.35
1077.215834,1.81,0.0389,0.457
1077.219301,1.92,-0.136,0.504
1077.222732,1.2,-0.114,1.58
1077.226121,2,0.00976,2
1077.229538,2,2,-1.09
1077.232996,2,1.73,-0.808
1077.236399,2,0.282,0.923
1077.239801,2,0.534,0.431
1077.243225,2,0.363,0.139
1077.246684,2,-0.0135,0.244
1077.250087,2,0.0579,-0.245
1077.253517,2,-0.229,-0.409
1077.25694,2,-0.501,-0.503
1077.260359,1.71,-0.768,-0.532
1077.263747,1.17,-1.13,-0.541
1077.267228,0.503,-1.66,-0.446
1077.270636,0.134,-2,-0.359
1077.274044,-0.216,-2,-0.229
1077.277472,-0.562,-2,-0.12
1077.280876,-0.892,-2,0.0969
1077.284337,-1.22,-2,0.227
1077.287742,-1.4,-2,0.345
1077.291241,-1.48,-2,0.486
1077.294614,-1.56,-2,0.628
1077.298011,-1.37,-2,0.737
1077.301437,-1.21,-2,0.783
1077.304867,-1.05,-2,0.894
1077.3083,-0.987,-2,0.826
1077.311706,-1.12,-2,0.403
1077.315202,-1.34,-2,0.0454
1077.318579,-1.22,-2,-0.0198
1077.321999,-0.994,-1.95,-0.0479
1077.325429,-0.768,-1.55,-0.159
1077.328897,-0.638,-1.25,-0.184
1077.332318,-0.61,-0.774,-0.278
1077.33576,-0.555,-0.403,-0.363
1077.339225,-0.454,-0.0951,-0.397
1077.342587,-0.331,0.212,-0.41
1077.34599,-0.177,0.486,-0.401
1077.349429,-0.017,0.838,-0.359
1077.35287,0.0729,1.08,-0.36
1077.356303,0.166,1.33,-0.381
1077.359719,0.246,1.51,-0.373
1077.363228,0.305,1.69,-0.332
1077.366586,0.481,1.77,-0.302
1077.369981,0.635,1.81,-0.265
1077.373421,0.776,1.79,-0.226
1077.377131,0.882,1.72,-0.169
1077.380282,0.985,1.58,-0.101
1077.383713,1.13,1.37,-0.0558
1077.387207,1.26,1.14,-0.00433
1077.390585,1.38,0.848,0.0661
1077.394011,1.5,0.562,0.0734
1077.397404,1.58,0.116,0.204
1077.400824,1.58,-0.171,0.319
1077.404268,1.55,-0.536,0.493
1077.40771,1.62,-0.801,0.582
1077.41109,1.66,-1,0.618
1077.414472,0.962,-1.17,1.54
1077.418124,2,-0.92,1.61
1077.421353,2,0.634,-0.539
1077.424771,2,0.26,-0.242
1077.428221,2,-0.874,0.798
1077.431574,2,-0.212,0.35
1077.43526,2,-0.45,0.364
1077.43841,2,-0.668,0.48
1077.442708,2,-0.561,0.225
1077.44535,2,-0.682,0.141
1077.44873,2,-0.852,0.0525
1077.452233,1.76,-0.941,-0.0129
1077.455595,1.41,-1.06,-0.124
1077.459026,1.02,-1.18,-0.16
1077.462419,0.613,-1.34,-0.128
1077.465832,0.142,-1.55,-0.0846
1077.469252,-0.159,-1.74,-0.0437
1077.472712,-0.524,-1.91,-0.0141
1077.47622,-0.768,-2,-0.0306
1077.479561,-0.879,-2,0.072
1077.483002,-1.23,-2,0.14
1077.486404,-1.44,-2,0.265
1077.489825,-1.61,-2,0.38
1077.49325,-1.64,-2,0.518
1077.496645,-1.63,-2,0.708
